Life.expectancy,Year,Status,Adult.Mortality,Alcohol,BMI,Schooling,GDP,Polio,Income.composition.of.resources
47.4,2005,Developing,382,5.04,17.7,6.8,1443.991929,39,0.426
47.1,2004,Developing,386,3.53,17.2,6.4,141.86844,4,0.415
46.8,2003,Developing,388,3.49,16.8,5.9,779.468356,4,0.406
46.5,2002,Developing,391,2.82,16.3,5.5,711.181716,37,0.401
45.7,2001,Developing,44,2.58,15.8,5.1,526.168743,41,0.391
45.3,2000,Developing,48,1.85,15.4,4.6,555.2969419,3,0.382
76.2,2014,Developing,131,8.56,47,13.9,12888.29667,96,0.782
76.1,2013,Developing,133,8.58,46.4,13.9,12224.86416,98,0.781
75.9,2012,Developing,134,8.18,45.7,13.8,12565.44197,97,0.778
75.7,2011,Developing,136,7.84,45.1,14.1,11929.34991,99,0.782
75.6,2010,Developing,138,7.84,44.4,14.1,12126.87614,99,0.783
75.4,2009,Developing,14,7.82,43.8,14.2,1312.46692,98,0.788
75.2,2008,Developing,142,8.27,43.2,14.4,1473.31923,99,0.786
75,2007,Developing,144,8.64,42.6,14.5,14252.29452,98,0.781
74.8,2006,Developing,145,8.93,42,14.7,12724.39377,99,0.773
74.6,2005,Developing,147,8.15,41.4,0,11371.93895,98,0
74.4,2004,Developing,149,7.28,4.8,0,1352.8374,97,0
74.2,2003,Developing,151,7.16,4.1,0,9739.82556,99,0
74,2002,Developing,153,7.21,39.5,0,9386.716452,93,0
73.8,2001,Developing,154,7.51,38.9,0,9358.154162,99,0
73.6,2000,Developing,156,7.27,38.2,0,9875.161736,96,0
76.2,2014,Developing,118,7.93,62.2,17.3,12245.25645,92,0.825
76,2013,Developing,119,8.28,61.6,17.3,12976.63642,99,0.823
75.9,2012,Developing,12,8.35,61,17.2,12969.7712,99,0.822
75.7,2011,Developing,12,8.11,6.4,17.1,12726.9836,93,0.816
75.5,2010,Developing,121,8.15,59.8,16.8,1276.265,95,0.802
75.6,2009,Developing,126,8.33,59.2,16.5,8161.36966,97,0.794
75.4,2008,Developing,126,8.41,58.6,16.3,8953.359275,94,0.792
74.8,2007,Developing,129,8.16,58,16.3,7193.61764,92,0.788
75.2,2006,Developing,127,7.75,57.5,16.1,5878.76127,92,0.782
74.9,2005,Developing,127,7.53,56.9,16.3,576.883829,95,0.78
74.7,2004,Developing,13,7.63,56.3,16.3,4251.574348,91,0.775
74.1,2003,Developing,137,7.62,55.7,16.4,333.4376,95,0.77
74.1,2002,Developing,138,7.81,55.1,16.3,2579.193168,94,0.776
74,2001,Developing,138,7.76,54.6,15.6,717.694674,85,0.771
74.1,2000,Developing,137,7.68,54,15,7669.273916,88,0.764
74.6,2014,Developing,12,3.91,54.1,12.7,3994.712355,95,0.739
74.4,2013,Developing,123,3.79,53.3,12.7,3843.591213,96,0.736
74.4,2012,Developing,121,3.89,52.6,12.7,3684.8481,96,0.732
73.9,2011,Developing,128,4.09,51.9,12.7,3526.978143,96,0.729
73.5,2010,Developing,132,4.23,51.2,12.3,3218.381655,96,0.72
73.3,2009,Developing,137,3.96,5.7,11.9,2993.832531,94,0.725
73.2,2008,Developing,14,3.96,5.1,12.3,41.26997,91,0.721
73.5,2007,Developing,132,3.99,49.7,11.7,3138.8873,9,0.707
72.9,2006,Developing,141,4.01,49.2,11.2,2158.299,87,0.692
73,2005,Developing,137,4.25,48.8,10.9,1643.758397,92,0.679
73,2004,Developing,132,3.81,48.4,10.9,1191.96192,93,0.668
72.7,2003,Developing,134,3.03,48.1,10.8,93.1661567,96,0.657
72.6,2002,Developing,134,2.86,47.8,10.8,783.261699,96,0.645
72.6,2001,Developing,141,2.86,47.4,11.1,694.435119,97,0.644
72,2000,Developing,142,2.9,47.1,11.2,622.7427477,96,0.639
82.7,2014,Developed,6,9.71,66.1,20.4,62214.6912,92,0.936
82.5,2013,Developed,61,9.87,65.5,20.3,67792.3386,91,0.933
82.3,2012,Developed,61,10.03,65,20.1,67677.63477,92,0.93
82,2011,Developed,63,10.3,64.4,19.8,62245.129,92,0.927
81.9,2010,Developed,64,10.52,63.9,19.5,51874.848,92,0.927
81.7,2009,Developed,66,10.62,63.4,19.1,42742.99898,92,0.925
81.3,2008,Developed,66,10.76,62.9,19.1,49664.6854,92,0.921
81.3,2007,Developed,66,10.56,62.5,19,4991.98289,92,0.918
81.2,2006,Developed,66,10.31,62,20.3,36118.28381,92,0.915
81,2005,Developed,67,10.3,61.5,20.3,3416.71483,92,0.91
86,2004,Developed,69,9.84,6.9,20.7,3472.37977,92,0.908
83,2003,Developed,71,9.97,6.3,20.6,23465.38559,92,0.905
79.9,2002,Developed,73,9.84,59.6,20.1,281.81763,92,0.902
79.9,2001,Developed,75,9.53,59,20.5,19517.84168,91,0.899
79.5,2000,Developed,78,10.17,58.2,20.4,2169.921,9,0.897
81.4,2014,Developed,66,12.32,57.1,15.9,51322.63997,98,0.892
81.1,2013,Developed,68,11.82,56.6,15.7,554.71532,95,0.887
88,2012,Developed,7,12.26,56.1,15.7,48333.57273,92,0.884
88,2011,Developed,73,12.04,55.7,15.7,51126.74139,89,0.88
84,2010,Developed,75,12.1,55.2,15.4,46657.629,86,0.872
82,2009,Developed,77,11.3,54.7,15.3,47654.18721,83,0.87
84,2008,Developed,76,12,54.2,15.1,51386.37665,83,0.864
81,2007,Developed,8,12.5,53.7,15.2,46586.6525,85,0.86
79.8,2006,Developed,81,12.4,53.2,15,443.99361,83,0.854
79.4,2005,Developed,85,12.4,52.7,14.9,38242.4252,86,0.848
79.3,2004,Developed,86,12.1,52.2,14.7,36693.4262,83,0.841
78.8,2003,Developed,88,12.2,51.7,14.7,3212.9355,84,0.837
78.7,2002,Developed,9,12.5,51.2,16.1,26351.37568,82,0.847
78.6,2001,Developed,92,12.4,5.6,15.5,24489.73553,83,0.837
78.1,2000,Developed,96,13.2,5.1,15.4,24517.26745,71,0.833
72.5,2014,Developing,119,0.01,51.5,12.2,7891.299776,97,0.752
72.2,2013,Developing,121,2.14,5.6,11.9,7875.756953,96,0.745
71.9,2012,Developing,123,0.01,49.7,11.8,7496.335728,92,0.742
71.6,2011,Developing,125,1.98,48.8,11.7,7189.691229,91,0.741
71.1,2010,Developing,13,1.98,48,11.7,5842.85784,85,0.737
78,2009,Developing,132,2.1,47.3,11.6,495.294791,84,0.728
73,2008,Developing,141,1.18,46.6,11.6,5574.6382,85,0.719
73,2007,Developing,14,1.02,45.9,11.6,3851.437869,81,0.708
69.2,2006,Developing,154,0.85,45.3,10.7,2473.85776,8,0.682
68.4,2005,Developing,162,0.73,44.7,11.2,1578.4239,79,0.675
68.4,2004,Developing,154,0.62,44.2,11,145.2163,78,0.668
67.8,2003,Developing,154,0.55,43.6,10.8,883.6439965,79,0.659
67.8,2002,Developing,146,0.55,43.1,10.6,763.73858,8,0.651
67.5,2001,Developing,151,0.51,42.6,10.4,73.6838434,77,0.642
66.6,2000,Developing,16,0.65,42.1,10.1,655.974326,75,0.636
76.8,2014,Developing,7,1.57,62.9,14.5,24983.3792,98,0.82
76.7,2013,Developing,7,1.65,62.2,14.5,251.18329,99,0.815
76.5,2012,Developing,71,1.7,61.5,14.5,23649.36661,99,0.812
76.1,2011,Developing,76,1.66,6.8,14.4,2281.1242,99,0.812
76.1,2010,Developing,73,1.93,6.1,14.4,2722.1389,99,0.81
76,2009,Developing,74,1.95,59.3,14.4,19356.67236,97,0.814
75.8,2008,Developing,76,2,58.5,14.4,2367.56535,97,0.815
75.6,2007,Developing,77,2,57.6,14.4,2977.1153,97,0.813
75.5,2006,Developing,79,2.1,56.8,14.2,1937.99549,98,0.81
75.3,2005,Developing,81,2.05,56.1,14,17959.17854,98,0.806
75.2,2004,Developing,83,2.16,55.6,13.9,15846.47641,98,0.803
75,2003,Developing,85,2.16,55.2,13.7,14221.99259,97,0.798
74.9,2002,Developing,87,1.99,55,13.5,1312.33457,98,0.796
74.7,2001,Developing,9,1.95,54.8,13.3,12868.211,99,0.794
74.5,2000,Developing,92,2.15,54.5,13.2,13636.34668,97,0.786
71.4,2014,Developing,132,0.01,17.7,10,184.56543,97,0.57
71,2013,Developing,135,0.01,17,10,951.8894535,96,0.565
77,2012,Developing,137,0.01,16.4,9.9,856.342857,94,0.557
73,2011,Developing,14,0.01,15.8,9.4,835.789341,96,0.545
69.9,2010,Developing,142,0.01,15.2,8.9,757.6717572,94,0.535
69.5,2009,Developing,144,0.01,14.6,8.4,681.125368,97,0.523
69.1,2008,Developing,147,0.01,14,8.6,615.7775411,96,0.52
68.6,2007,Developing,151,0.01,13.5,8.6,541.651484,96,0.513
68.2,2006,Developing,152,0.01,13,8.4,494.51466,95,0.506
67.8,2005,Developing,155,0.01,12.5,8.2,484.155471,94,0.499
67.3,2004,Developing,158,0.01,12,8.1,46.7579167,88,0.491
66.8,2003,Developing,161,0.01,11.6,7.9,432.7388972,9,0.484
66.3,2002,Developing,164,0.01,11.2,7.7,4.6135745,83,0.476
65.8,2001,Developing,168,0.01,1.8,7.5,42.5981152,85,0.468
65.3,2000,Developing,173,0.01,1.4,7.3,45.63371,83,0.459
75.4,2014,Developing,1,8.82,53.7,15.3,15359.66971,95,0.793
75.2,2013,Developing,11,8.74,53,15.3,15472.7814,91,0.792
75.1,2012,Developing,12,8.61,52.2,15.3,15384.8749,88,0.785
74.9,2011,Developing,14,8.51,51.4,15.5,15534.1574,91,0.78
74.7,2010,Developing,16,8.41,5.7,15.8,1595.91232,9,0.781
74.6,2009,Developing,19,8.46,49.9,15.5,16523.32388,93,0.779
74.4,2008,Developing,111,8.95,49.2,15.3,1657.3228,85,0.775
74.2,2007,Developing,113,8.47,48.4,15,16462.48556,93,0.771
74.1,2006,Developing,115,8.39,47.7,14.8,15646.5591,85,0.766
73.9,2005,Developing,117,8.01,46.9,14.6,14223.86576,91,0.761
73.8,2004,Developing,119,7.68,46.2,14.4,12868.8639,93,0.757
73.7,2003,Developing,121,7.65,45.4,14.2,1228.5447,9,0.753
73.5,2002,Developing,123,7.59,44.6,14,11675.39395,86,0.749
73.4,2001,Developing,125,7.38,43.8,14,11513.87189,93,0.75
73.3,2000,Developing,127,7.43,43,14,11568.1111,86,0.741
72,2014,Developing,199,13.94,61.7,15.7,8318.429294,97,0.796
71.7,2013,Developing,23,14.66,61.1,15.7,7978.825443,98,0.796
71.9,2012,Developing,194,16.35,6.5,15.6,694.243915,98,0.793
72,2011,Developing,232,17.31,59.9,15.5,6519.71753,98,0.787
73,2010,Developing,222,14.44,59.3,15.5,63.38877,99,0.78
70,2009,Developing,226,14.09,58.7,15.4,5176.172649,98,0.771
70,2008,Developing,224,14.67,58.2,15.1,6376.183153,98,0.755
69.8,2007,Developing,226,14.22,57.7,14.9,4735.484827,9,0.739
68.9,2006,Developing,243,12.6,57.2,14.6,3848.215966,97,0.723
68.1,2005,Developing,252,11.01,56.7,14.4,3126.71767,98,0.713
68.2,2004,Developing,247,12.05,56.2,14.1,2378.33927,99,0.703
67.7,2003,Developing,253,11.17,55.8,13.9,1819.525644,53,0.695
67.2,2002,Developing,262,12.23,55.3,13.6,1479.383142,99,0.687
67.7,2001,Developing,254,10.74,54.9,13.3,1244.373185,99,0.681
68,2000,Developing,247,12.98,54.4,13.1,1276.28834,99,0.675
89,2014,Developed,76,12.6,63.4,16.3,47439.39684,99,0.89
87,2013,Developed,77,11.77,63,16.3,4651.38647,99,0.889
83,2012,Developed,78,10.08,62.6,16.2,4474.5717,99,0.886
83,2011,Developed,8,10.11,62.3,16.1,4772.77415,98,0.884
80,2010,Developed,81,10.22,61.9,15.9,4438.23741,98,0.878
79.8,2009,Developed,85,10.05,61.6,15.8,4488.5615,98,0.876
79.5,2008,Developed,87,10.47,61.3,15.8,48424.58927,99,0.874
79.5,2007,Developed,86,10.25,6.9,15.8,4443.83131,99,0.871
79.4,2006,Developed,85,10.98,6.6,15.7,38852.3613,99,0.865
78.9,2005,Developed,89,12.27,6.2,15.7,36967.28292,97,0.861
78.8,2004,Developed,91,12.05,59.8,18.8,35589.71295,96,0.88
78.3,2003,Developed,95,11.28,59.4,18.6,3743.95693,96,0.878
78,2002,Developed,99,11.29,59,18.8,2552.3328,96,0.875
78,2001,Developed,1,11.01,58.5,18.2,23121.56635,96,0.873
77.6,2000,Developed,11,11.21,58.1,18,2327.4591,96,0.869
70,2014,Developing,177,6.58,5.1,12.8,4852.223666,95,0.705
69.8,2013,Developing,18,6.56,49.3,12.9,4688.538443,95,0.706
69.4,2012,Developing,189,6.66,48.5,12.5,4673.63848,98,0.702
69.4,2011,Developing,188,6.64,47.8,12.4,4516.24675,95,0.7
69.5,2010,Developing,186,6.76,47,12.4,4344.15177,96,0.7
69.5,2009,Developing,184,6.85,46.3,12.7,4258.788611,98,0.7
69.6,2008,Developing,181,7.22,45.7,12.8,447.22796,94,0.699
69.6,2007,Developing,181,7.24,45,12.8,4324.876427,97,0.7
69.4,2006,Developing,184,6.48,44.4,12.3,4187.3783,98,0.692
69,2005,Developing,191,6.25,43.8,12.8,3933.332215,96,0.695
68.7,2004,Developing,197,6.2,43.2,12.5,3831.53819,97,0.691
68.4,2003,Developing,21,5.67,42.6,12.2,3679.99523,95,0.684
68.5,2002,Developing,199,4.99,42,11.9,3556.561825,93,0.678
68.2,2001,Developing,21,4.9,41.4,11.8,3419.275719,96,0.677
68.3,2000,Developing,196,4.79,4.8,11.7,3364.423711,91,0.668
59.7,2014,Developing,252,0.01,25.2,10.7,943.686575,74,0.475
59.5,2013,Developing,251,0.01,24.6,10.3,915.2674586,73,0.466
59.3,2012,Developing,251,0.01,24.1,10,837.9551,8,0.458
59.1,2011,Developing,251,1.4,23.5,9.8,825.9427854,77,0.454
58.7,2010,Developing,254,1.33,23,9.5,757.695974,77,0.451
58.4,2009,Developing,259,1.16,22.5,9.3,793.45243,8,0.448
57.6,2008,Developing,278,1.28,22,9.1,82.1513498,77,0.444
57.1,2007,Developing,283,1.12,21.5,8.9,76.535419,82,0.438
56.8,2006,Developing,284,1.19,21,8.7,625.8392,76,0.434
56.5,2005,Developing,285,1.13,2.5,8.5,61.799977,73,0.43
56.1,2004,Developing,285,1.15,2.1,8.1,583.493514,74,0.423
55.8,2003,Developing,285,1.35,19.7,7.7,519.2922847,75,0.416
55.6,2002,Developing,283,1.23,19.2,7.3,418.6985763,76,0.407
55.5,2001,Developing,281,1.29,18.8,6.6,378.73654,77,0.395
55.4,2000,Developing,279,1.34,18.4,6.4,374.1923942,78,0.389
69.4,2014,Developing,216,0.01,23.6,12.5,2522.7968,98,0.596
69.1,2013,Developing,219,0.01,22.7,12.6,235.882889,97,0.589
68.7,2012,Developing,223,0.01,21.9,12.3,2422.816,97,0.581
68.3,2011,Developing,225,0.23,21.1,11.9,2458.45976,95,0.572
67.9,2010,Developing,228,0.28,2.3,11.4,2178.921383,92,0
67.4,2009,Developing,232,0.17,19.5,10.9,177.234497,93,0
67,2008,Developing,234,0.21,18.8,10.5,1795.18137,96,0
66.5,2007,Developing,238,0.16,18,10.1,1741.142552,93,0
65.8,2006,Developing,245,0.29,17.4,9.6,1335.45696,96,0
65,2005,Developing,254,0.73,16.7,9.2,1247.61392,95,0
64.2,2004,Developing,263,0.96,16.1,8.8,197.45788,9,0
63.3,2003,Developing,273,0.52,15.5,8.4,997.7417141,96,0
62.5,2002,Developing,282,0.29,14.9,8,885.6382245,89,0
61.7,2001,Developing,29,0.14,14.4,7.6,87.9387673,88,0
62,2000,Developing,312,0.17,13.9,7.3,765.8632358,98,0
77.2,2014,Developing,89,4.03,55.3,14.2,5193.94932,86,0.742
77,2013,Developing,9,4.12,54.7,14.2,535.86555,87,0.735
76.8,2012,Developing,92,4.61,54.2,13.9,4716.673325,87,0.728
76.9,2011,Developing,92,4.64,53.7,13.4,55.156834,89,0.711
76.4,2010,Developing,94,4.54,53.1,13.3,4611.47298,9,0.717
76.1,2009,Developing,97,4.75,52.6,13.3,4697.89732,9,0.716
76,2008,Developing,98,5.13,52.1,13.1,575.31664,92,0.71
75.4,2007,Developing,16,5.16,51.5,12.9,418.292176,95,0.703
75.7,2006,Developing,1,4.82,51,12.7,344.321698,91,0.697
75,2005,Developing,12,4.56,5.5,12.5,2968.41186,95,0
75.5,2004,Developing,99,4.25,49.9,12.3,265.642661,87,0
75.2,2003,Developing,12,4.14,49.4,12.1,2214.732246,87,0
75.4,2002,Developing,11,3.84,48.8,11.9,1761.537647,86,0
74.9,2001,Developing,113,3.85,48.2,11.6,1524.41222,92,0
74.6,2000,Developing,116,3.64,47.6,0,1461.7552,87,0
65.1,2014,Developing,268,0.01,37.3,12.6,7497.762376,96,0.697
64.2,2013,Developing,286,0.01,36.8,12.6,77.625783,96,0.693
63.4,2012,Developing,3,0.01,36.2,12.5,729.231453,96,0.687
62.2,2011,Developing,325,5.76,35.7,12.4,7645.21469,96,0.678
61.1,2010,Developing,349,5.99,35.2,12.3,6346.15624,96,0.669
59.2,2009,Developing,393,5.01,34.7,12.2,5185.729845,96,0.661
57.5,2008,Developing,427,6.56,34.2,12.1,5623.379566,96,0.646
56.9,2007,Developing,436,6.21,33.7,12.1,5714.47937,96,0.63
54.8,2006,Developing,491,6.45,33.2,11.9,5374.554867,96,0.61
51.7,2005,Developing,566,6.37,32.7,11.9,5351.253732,96,0.593
48.1,2004,Developing,652,4.9,32.2,11.8,4896.583835,96,0.58
46.4,2003,Developing,693,5.51,31.6,11.8,4163.6596,96,0.567
46,2002,Developing,699,6.41,31.1,11.9,355.618382,97,0.558
46.7,2001,Developing,679,5.48,3.5,11.8,3128.97793,97,0.56
47.8,2000,Developing,647,5.37,29.9,11.7,3349.68823,97,0.559
74.8,2014,Developing,144,7.32,55.3,15.2,1226.61731,96,0.747
74.7,2013,Developing,146,7.24,54.5,14.2,12216.9446,96,0.734
74.5,2012,Developing,148,7.55,53.6,14.2,12291.46685,96,0.73
74.1,2011,Developing,152,7.58,52.8,14,13167.47289,98,0.724
73.8,2010,Developing,154,7.52,52,13.8,11224.1548,99,0.716
73.6,2009,Developing,157,7.33,51.1,13.8,8553.3847,99,0.714
73.4,2008,Developing,158,7.21,5.3,13.3,8787.61375,99,0.704
73.3,2007,Developing,159,7.19,49.4,13.5,7313.557962,99,0.7
73,2006,Developing,161,7.1,48.6,13.8,586.145975,99,0.698
72.7,2005,Developing,163,6.97,47.8,13.8,477.182746,99,0.694
72,2004,Developing,17,6.85,46.9,14,3623.47667,99,0.695
71.8,2003,Developing,172,6.95,46.1,14.8,359.587582,99,0.699
71.4,2002,Developing,176,7,45.3,14.6,2819.649531,99,0.692
71,2001,Developing,179,7.13,44.5,14.3,3146.95177,99,0.685
75,2000,Developing,183,7.26,43.7,14.1,3739.11936,99,0.677
77.6,2014,Developing,8,0.01,4.2,15,4159.8652,99,0.863
77.1,2013,Developing,84,0.01,39.2,14.9,44597.27968,99,0.86
78.3,2012,Developing,79,0.01,38.2,14.4,47651.2599,99,0.852
77.4,2011,Developing,79,0.97,37.2,14.1,4717.273,99,0.846
76.9,2010,Developing,79,0.88,36.2,14.2,35268.1117,99,0.845
76.8,2009,Developing,88,0.25,35.2,14.1,27965.4754,99,0.841
77.2,2008,Developing,84,0.67,34.2,14.2,37951.286,97,0.84
76,2007,Developing,1,0.85,33.2,14.3,32672.36717,95,0.84
76.3,2006,Developing,93,0.67,32.2,14.3,398.96692,94,0.837
76.2,2005,Developing,92,0.16,31.2,14.1,2612.13345,93,0.834
76.4,2004,Developing,89,0.11,3.1,13.7,21896.6527,92,0.828
76,2003,Developing,89,0.12,29.1,13.4,18555.56649,99,0.823
74.8,2002,Developing,95,0.13,28,13.3,16846.2198,99,0.82
74.7,2001,Developing,19,0.47,27,13.4,16468.12886,99,0.819
74.4,2000,Developing,16,0.37,26.1,13.4,188.44826,99,0.818
74.3,2014,Developed,138,12.03,65.1,14.8,7853.335191,88,0.787
74.1,2013,Developed,14,12.06,64.5,14.4,7674.86559,95,0.781
73.9,2012,Developed,139,10.99,63.9,14.3,7378.25539,95,0.778
73.7,2011,Developed,144,10.67,63.3,14.2,7813.83499,95,0.775
73.4,2010,Developed,147,10.8,62.7,13.9,6843.263289,94,0.77
73.2,2009,Developed,152,10.93,62.1,13.8,6955.987733,94,0.768
72.9,2008,Developed,155,10.98,61.5,13.8,7296.122479,96,0.761
72.6,2007,Developed,157,10.89,6.9,13.5,5932.899677,95,0.755
72.2,2006,Developed,161,10.39,6.3,13.5,4513.13628,96,0.75
72.1,2005,Developed,16,10.48,59.7,13.5,3893.68998,97,0.745
72.2,2004,Developed,157,10.96,59.1,13.3,3381.57837,94,0.738
72,2003,Developed,155,11.19,58.6,12.9,271.46824,96,0.729
71.8,2002,Developed,157,10.2,58.1,12.9,287.534843,94,0.723
71.6,2001,Developed,16,10.72,57.5,12.9,1764.97387,94,0.713
71.1,2000,Developed,163,9.69,57,12.9,169.28586,94,0.709
59.3,2014,Developing,268,0.01,18.8,7.7,75.1464113,91,0.398
59,2013,Developing,27,4.64,18.2,7.5,699.452847,89,0.392
58.6,2012,Developing,271,4.75,17.7,7.2,673.8227,9,0.384
58.1,2011,Developing,275,4.51,17.1,6.7,666.842783,9,0.377
57.5,2010,Developing,279,4.55,16.6,6.3,575.4464527,9,0.365
56.9,2009,Developing,283,4.55,16.1,5.9,552.7455521,91,0.356
56.1,2008,Developing,288,4.5,15.6,5.4,569.7612784,92,0.345
55.3,2007,Developing,293,4.58,15.1,4.9,475.11122,93,0.334
54.3,2006,Developing,32,4.73,14.6,4.7,422.6332374,94,0.325
53.3,2005,Developing,313,4.88,14.2,4.3,46.998871,94,0
52.4,2004,Developing,323,4.54,13.7,3.9,371.323865,83,0
51.6,2003,Developing,332,4.58,13.3,3.8,332.344351,83,0
51,2002,Developing,338,4.53,12.9,3.6,26.7635413,69,0
56,2001,Developing,344,4.56,12.5,3.5,235.4912324,62,0
51,2000,Developing,348,3.71,12.2,3.4,226.4759814,45,0
59.1,2014,Developing,297,0.01,18.2,10.6,312.7489794,95,0.404
58.6,2013,Developing,33,0.01,17.6,10.5,282.7555252,96,0.398
58,2012,Developing,312,0.01,17.1,10.3,265.285651,96,0.393
57.4,2011,Developing,321,4.16,16.6,9.9,26.479973,95,0.385
56.8,2010,Developing,33,4.16,16.1,9.3,231.1943256,94,0.361
56.2,2009,Developing,338,4.05,15.7,8.6,24.944652,96,0.336
55.3,2008,Developing,35,4.33,15.2,7.9,196.2472628,89,0.319
54.8,2007,Developing,355,4.54,14.8,7.2,17.79995,93,0.309
54.1,2006,Developing,361,4.5,14.5,5.9,165.8794176,88,0.29
53.4,2005,Developing,369,5.54,14.1,5.6,15.57434,82,0.286
52.6,2004,Developing,378,5.72,13.8,5.2,127.4296648,76,0.279
51.9,2003,Developing,387,5.84,13.5,4.7,112.849373,75,0.276
51.5,2002,Developing,387,5.98,13.3,4.4,122.4335893,74,0.268
51.3,2001,Developing,385,6.09,13,4.5,133.7427689,72,0.268
58,2000,Developing,386,6.61,12.8,4.5,135.9984455,71,0.268
73,2014,Developing,117,0.01,3.5,13.5,3529.61843,95,0.643
72.8,2013,Developing,12,0.01,29.7,13.6,3558.796314,93,0.643
72.7,2012,Developing,121,0.01,29,13.2,348.482762,94,0.636
72.6,2011,Developing,122,5.07,28.2,13.1,367.429453,9,0.632
72.5,2010,Developing,123,4.75,27.5,12.7,3312.825985,99,0.627
72.4,2009,Developing,124,4.45,26.8,12.4,3444.5566,99,0.621
72.4,2008,Developing,124,4.16,26.2,12.2,3638.95946,99,0.615
72.3,2007,Developing,126,5.28,25.5,11.9,3112.285712,98,0.602
72.1,2006,Developing,129,4.25,24.9,11.9,234.28992,97,0.596
71.8,2005,Developing,134,4.26,24.3,11.2,248.13459,95,0.582
